Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FGL1750S5FZ,3C08F60842F8,AP1083,3702i,1,ap name,3C08F60842F8,AP1083-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G4,3C08F6084610,AP1084,3702i,1,ap name,3C08F6084610,AP1084-3702i,1,,1,,
AIR-CAP3702i-E-K9,FGL1750S5G9,7CAD74FFAE32,AP1085,3702i,1,ap name,7CAD74FFAE32,AP1085-3702i,1,,,,
AIR-CAP3702i-E-K9,FGL1750S5FU,3C08F6084648,AP1086,3702i,1,ap name,3C08F6084648,AP1086-3702i,1,,,,
AIR-CAP3702i-E-K9,FGL1750S5GC,7CAD74FFAE4E,AP1087,3702i,1,ap name,7CAD74FFAE4E,AP1087-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ175180SD,BC1665094700,AP1088,3702i,1,ap name,BC1665094700,AP1088-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G8,7CAD74FFAE96,AP1089,3702i,1,ap name,7CAD74FFAE96,AP1089-3702i,1,,,,
AIR-CAP3702i-E-K9,FGL1750S5FV,BC1665092148,AP1090,3702i,1,ap name,BC1665092148,AP1090-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FS,3C08F60845B0,AP1091,3702i,1,ap name,3C08F60845B0,AP1091-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G6,7CAD74FFAD9A,AP1092,3702i,1,ap name,7CAD74FFAD9A,AP1092-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FQ,7CAD74FFAC0A,AP1093,3702i,1,ap name,7CAD74FFAC0A,AP1093-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FW,BC16650924BC,AP1094,3702i,1,ap name,BC16650924BC,AP1094-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FX,BC166509226C,AP1095,3702i,1,ap name,BC166509226C,AP1095-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G1,3C08F60842E0,AP1096,3702i,1,ap name,3C08F60842E0,AP1096-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S1MD,7CAD74FFEB96,AP1097,3702i,1,ap name,7CAD74FFEB96,AP1097-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5GF,7CAD74FFAEBA,AP1098,3702i,1,ap name,7CAD74FFAEBA,AP1098-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5GA,7CAD74FFAE2E,AP1099,3702i,1,ap name,7CAD74FFAE2E,AP1099-3702i,1,home,1,,
AIR-CAP3702i-E-K9,FGL1750S5G2,7CAD74FFAECA,AP1100,3702i,1,ap name,7CAD74FFAECA,AP1100-3702i,1,home,1,,
AIR-CAP3702i-E-K9,FGL1750S5FT,3C08F6084158,AP1101,3702i,1,ap name,3C08F6084158,AP1101-3702i,1,home,1,,
AIR-CAP3702i-E-K9,FGL1750S5G7,7CAD74FFAEF2,AP1102,3702i,1,ap name,7CAD74FFAEF2,AP1102-3702i,1,home,1,,
AIR-CAP3702i-E-K9,FGL1750X12F,7CAD74FFAE7E,AP1103,3702i,1,ap name,7CAD74FFAE7E,AP1103-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5G3,7CAD74FFAEFA,AP1104,3702i,1,ap name,7CAD74FFAEFA,AP1104-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FR,7CAD74FF9642,AP1105,3702i,1,ap name,7CAD74FF9642,AP1105-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5GB,7CAD74FFAED6,AP1106,3702i,1,ap name,7CAD74FFAED6,AP1106-3702i,1,,,,
AIR-CAP3702i-E-K9,FGL1750S1MB,7CAD74FFD64A,AP1107,3702i,1,ap name,7CAD74FFD64A,AP1107-3702i,,,1,,
